observation,tempC_avg(0C),Relative humidity_avg(%),windspeedKmph_avg(Km/h),pressureMB_avg,precipMM_avg(mm),weatherDesc,Sunshine Hours,%_soil_moisure,Bacterial Blight/Telya,Anthracnose,Fruit Spot/Rot,Fusarium Wilt,Fruit Borer/Blight Blora
2021-04-30,30,29,14,1009,0.11699891286339156,4,10.632075605457233,36,0,0,0,0,0
2021-05-01,30,29,14,1009,0.16902595632598144,4,10.567406998873858,37,0,0,0,0,0
2021-05-02,31,30,14,1009,0.12491018878101987,4,10.575501802769931,37,0,0,0,0,0
2021-05-03,31,30,14,1009,0.12094571188980507,4,10.58317889517734,37,0,0,0,0,0
2021-05-04,31,29,14,1009,0.13960175741693345,4,10.628284206235536,37,0,0,0,0,0
2021-05-05,31,29,14,1009,0.13488054633250482,4,10.704519070123238,37,0,0,0,0,0
2021-05-06,31,29,14,1009,0.14691886980460012,4,10.702523828070248,36,0,0,0,0,0
2021-05-07,31,30,14,1009,0.1097062796765716,4,10.752628896533096,36,0,0,0,0,0
2021-05-08,31,29,14,1009,0.16798096246295918,4,10.728206761007977,36,0,0,0,0,0
2021-05-09,31,30,15,1009,0.13021632993547075,4,10.765243655996953,36,0,0,0,0,0
2021-05-10,31,30,15,1009,0.13254624976521082,4,10.788965005589406,36,0,0,0,0,0
2021-05-11,31,30,15,1009,0.15728697972104647,4,10.835946565014902,36,0,0,0,0,0
2021-05-12,31,30,15,1008,0.15830007092752788,4,10.89898266171116,36,0,0,0,0,0
2021-05-13,31,30,15,1008,0.1755985606861677,4,10.868199905633608,36,0,0,0,0,0
2021-05-14,31,31,15,1008,0.14306918659041204,4,10.87382766580444,36,0,0,0,0,0
2021-05-15,31,31,15,1008,0.20537155834657853,4,10.78955815582908,36,0,0,0,0,0
2021-05-16,31,31,15,1008,0.1709272056364357,4,10.752114589435957,36,0,0,0,0,0
2021-05-17,31,32,16,1008,0.1758463375519475,4,10.687861509223612,36,1,0,0,0,0
2021-05-18,31,33,16,1007,0.2024503190856198,4,10.634889586334921,36,1,0,0,0,0
2021-05-19,31,33,16,1007,0.20463410427779927,4,10.587846966662578,36,1,0,0,0,0
2021-05-20,31,34,16,1007,0.22247095391598126,4,10.439006511870879,36,1,0,0,0,0
2021-05-21,31,36,16,1007,0.18993221033535396,4,10.32098148541036,36,1,0,0,0,0
2021-05-22,31,36,16,1007,0.2517831390646292,4,10.110024019210146,37,1,0,0,0,0
2021-05-23,31,38,16,1007,0.2165678594961614,4,9.945526513007122,37,1,0,0,0,0
2021-05-24,30,39,17,1007,0.22053133150594528,3,9.756561910769447,38,1,0,0,0,0
2021-05-25,30,40,17,1006,0.24613655855574254,3,9.583897091522228,38,1,0,0,0,0
2021-05-26,30,41,17,1006,0.2474214208784261,3,9.424753433174269,38,1,0,0,0,0
2021-05-27,30,43,17,1006,0.2645976542381728,3,9.173805867665841,39,1,0,0,0,0
2021-05-28,30,45,17,1006,0.2317649421278138,3,8.965834878704058,39,1,0,0,0,0
2021-05-29,29,46,17,1006,0.29380132798149583,3,8.678967555690368,40,1,0,0,0,0
2021-05-30,29,48,18,1006,0.2593431615971987,3,8.454129459867902,40,1,0,0,0,0
2021-05-31,29,49,18,1006,0.26470272761096675,3,8.221544631508815,41,1,0,0,0,0
2021-06-01,29,51,18,1006,0.29238188033541945,3,8.022719100536946,42,1,0,0,0,0
2021-06-02,29,52,18,1006,0.29642623964700654,3,7.855182792760865,42,1,1,0,0,0
2021-06-03,28,54,18,1006,0.3170225768139232,3,7.613481668224141,43,1,1,0,0,0
2021-06-04,28,56,18,1006,0.28821243971744287,3,7.43183473080656,43,1,1,0,0,0
2021-06-05,28,57,18,1006,0.35478327055365183,3,7.187391874804407,44,1,1,0,0,0
2021-06-06,28,58,18,1006,0.32525023948083154,2,7.019713845031941,45,1,1,0,0,0
2021-06-07,28,60,18,1005,0.3357769130049397,2,6.857310841800053,46,1,1,0,0,0
2021-06-08,27,61,18,1005,0.36869301418596134,2,6.739674040490083,47,1,1,0,0,0
2021-06-09,27,62,18,1005,0.3778537252365486,2,6.662073561175038,47,1,1,0,0,0
2021-06-10,27,63,18,1005,0.40324302292110503,2,6.516613142789745,48,1,1,0,0,0
2021-06-11,27,64,18,1005,0.3786939269342309,2,6.434954398859469,49,1,1,0,0,0
2021-06-12,27,65,18,1005,0.44878671893134864,2,6.291644728621849,50,1,1,0,0,0
2021-06-13,26,66,18,1005,0.4218381396377758,2,6.223668192387292,50,1,1,0,0,0
2021-06-14,26,67,18,1005,0.4338294524422294,2,6.157053895178812,52,1,1,0,0,0
2021-06-15,26,67,18,1005,0.46693139266473793,2,6.128974198044872,52,1,1,0,0,0
2021-06-16,26,68,18,1005,0.4748702148696269,2,6.132604434732217,53,1,1,0,0,0
2021-06-17,26,69,18,1005,0.49753709749642006,2,6.058232675796606,53,1,1,0,0,0
2021-06-18,25,70,18,1005,0.46871356820039733,2,6.036030898680147,54,1,1,0,0,0
2021-06-19,25,70,18,1004,0.5329738121568485,2,5.939420355975699,55,1,1,0,0,0
2021-06-20,25,71,18,1004,0.4986767031969115,2,5.904649442047015,55,1,1,0,0,0
2021-06-21,25,71,18,1004,0.5018953122964807,2,5.85741789448767,56,1,1,0,0,0
2021-06-22,25,71,18,1004,0.5249418172693352,2,5.83497926282201,56,1,1,0,0,0
2021-06-23,25,72,18,1004,0.5217319731197988,2,5.830993265926509,57,1,1,0,0,0
2021-06-24,24,72,18,1004,0.5323913944480395,2,5.736616855489849,57,0,0,0,0,0
2021-06-25,24,73,18,1004,0.4909763518456927,2,5.683245941853041,58,0,0,0,0,0
2021-06-26,24,73,18,1004,0.5423700294839658,2,5.545841476677927,58,0,0,0,0,0
2021-06-27,24,74,18,1004,0.49526721374972277,2,5.462459372386864,59,0,0,0,0,0
2021-06-28,24,75,18,1004,0.48609533972251895,2,5.360819517328121,59,0,0,0,0,0
2021-06-29,24,75,18,1004,0.49753002986424383,2,5.280347442523548,59,0,0,0,0,0
2021-06-30,24,75,18,1004,0.4838495278630644,2,5.216962038439331,60,0,0,0,0,0
2021-07-01,23,76,19,1004,0.48553054915937127,2,5.064100017836249,60,0,0,0,0,0
2021-07-02,23,77,19,1004,0.4369585396016069,2,4.955391006989245,60,0,0,0,0,0
2021-07-03,23,77,19,1004,0.4833135903683477,2,4.767918877093122,60,0,0,0,0,0
2021-07-04,23,78,19,1004,0.4335452828965514,2,4.641690649251431,60,0,0,0,0,0
2021-07-05,23,78,19,1004,0.4242846887272003,2,4.506149968136928,61,0,0,0,0,0
2021-07-06,23,78,19,1004,0.4383519422549611,2,4.402170269240117,61,0,0,0,0,0
2021-07-07,23,79,19,1004,0.4301040499584787,2,4.326802395291858,61,0,0,0,0,0
2021-07-08,23,79,20,1004,0.44002568728229235,2,4.174268464659028,61,0,0,0,0,0
2021-07-09,23,80,20,1004,0.40243616602195986,2,4.07861669920253,61,0,0,0,0,1
2021-07-10,23,80,20,1004,0.46237396718944557,2,3.9169733442571903,62,0,0,0,0,1
2021-07-11,23,80,20,1004,0.42857221021933006,2,3.8290132166855235,62,0,0,0,0,1
2021-07-12,23,81,20,1004,0.43737332698061837,2,3.743485755798048,62,0,0,1,0,1
2021-07-13,23,81,21,1004,0.4712413461690579,2,3.700231263713535,62,0,0,1,0,1
2021-07-14,23,81,21,1004,0.48411638241708416,2,3.6949613484859416,62,0,0,1,0,1
2021-07-15,23,81,21,1004,0.5160139559575002,2,3.6202943495056275,62,0,0,1,0,1
2021-07-16,23,82,21,1004,0.5007421465761196,2,3.6084591794363394,62,0,0,1,0,1
2021-07-17,23,81,21,1004,0.5827977478123586,1,3.5346022304364917,62,0,0,1,0,1
2021-07-18,23,82,21,1004,0.570354518678267,1,3.5363172283480147,62,0,0,1,0,1
2021-07-19,23,82,22,1004,0.5991914898772186,1,3.5402331391598354,63,0,0,1,0,1
2021-07-20,23,82,22,1004,0.6512193885625011,1,3.5840929779771464,63,0,0,1,0,1
2021-07-21,23,81,22,1004,0.6798494131952514,1,3.661595685842032,63,0,0,1,0,1
2021-07-22,23,82,22,1004,0.7246066098643157,1,3.6634900486111395,63,0,0,1,0,1
2021-07-23,23,82,22,1004,0.7188604776510579,1,3.7203323824789267,63,0,0,1,0,1
2021-07-24,23,82,22,1004,0.8067336013862147,1,3.7058410697878674,63,0,0,1,0,1
2021-07-25,23,82,22,1004,0.796101060154836,1,3.756466455816402,63,0,0,1,0,1
2021-07-26,23,82,23,1004,0.8225282480829523,1,3.798010068709546,64,0,0,1,0,1
2021-07-27,23,82,23,1004,0.8678048886229538,1,3.8677251343732406,64,0,0,1,0,1
2021-07-28,23,81,23,1004,0.8853192369402785,1,3.9591699619584393,64,0,0,1,0,1
2021-07-29,22,82,23,1004,0.9146745377833972,1,3.9633028895349938,64,0,0,1,0,1
2021-07-30,22,82,23,1004,0.8894202411736202,1,4.01123054239297,64,0,0,1,0,1
2021-07-31,22,82,23,1004,0.953958711997059,1,3.9775428260258634,65,0,0,1,0,1
2021-08-01,22,82,23,1004,0.91654018513575,1,3.9998538024106223,65,0,0,1,0,1
2021-08-02,22,82,23,1004,0.9131936723477553,1,4.005383329280694,65,0,0,1,0,1
2021-08-03,22,82,23,1004,0.9262517372209809,1,4.033012603263575,65,0,0,1,0,1
2021-08-04,22,82,23,1004,0.9097133306038031,1,4.0780865675651885,65,0,0,1,0,1
2021-08-05,22,82,23,1004,0.9038470099404513,2,4.0334534330886145,65,0,0,1,0,1
2021-08-06,22,83,23,1004,0.8429073530370057,2,4.032154752047774,65,0,0,1,0,1
2021-08-07,22,82,23,1004,0.8720256551447378,2,3.9507012295648014,65,0,0,1,0,1
2021-08-08,22,83,23,1004,0.8001880495704421,2,3.928555209364469,65,0,0,1,0,1
2021-08-09,22,83,23,1004,0.7641491725022918,2,3.8946564715221754,65,0,0,1,0,1
2021-08-10,22,83,23,1004,0.7469397180828622,2,3.889426159745474,65,0,0,1,0,1
2021-08-11,22,82,23,1004,0.7032125099150195,2,3.909523344018898,65,0,0,1,0,1
2021-08-12,22,83,23,1004,0.6738298388804023,2,3.84884583527802,65,0,0,1,0,1
2021-08-13,22,83,23,1004,0.5935652856798133,2,3.8411898410756935,64,0,0,1,0,1
2021-08-14,22,83,22,1004,0.6079814953870251,2,3.7635045457445147,64,0,0,1,0,1
2021-08-15,22,83,22,1004,0.5263973830190452,2,3.7553631708358184,64,0,0,1,0,1
2021-08-16,22,83,22,1004,0.48579318079089506,2,3.7454874769596023,64,0,0,1,0,1
2021-08-17,22,83,21,1004,0.4693119063196638,2,3.7737605418445934,64,0,0,1,0,1
2021-08-18,22,82,21,1005,0.43160204795489643,2,3.8360020317713435,63,0,0,1,0,1
2021-08-19,22,82,21,1005,0.4134043190407769,2,3.824996997227861,63,0,0,1,0,1
2021-08-20,22,83,20,1005,0.34925573030283225,2,3.8731919165529156,63,0,0,1,0,1
2021-08-21,22,82,20,1005,0.3843724061238003,2,3.855992952524651,63,0,0,1,0,1
2021-08-22,22,82,19,1005,0.3276245105957664,2,3.911286639368572,62,0,0,1,0,1
2021-08-23,22,82,19,1005,0.3154515119484961,2,3.966018443330886,63,0,0,1,0,1
2021-08-24,22,82,19,1005,0.33037611807853523,2,4.058262379474824,62,0,0,1,0,1
2021-08-25,22,81,18,1005,0.3263613745339949,2,4.182054164905871,62,0,0,1,0,1
2021-08-26,22,81,18,1005,0.34341342143720094,2,4.228477169566543,62,0,0,1,0,1
2021-08-27,22,82,17,1005,0.3153027618263068,2,4.32841313881291,61,0,0,1,0,1
2021-08-28,22,81,17,1005,0.38646503934314386,2,4.355890975745313,62,0,0,1,0,1
2021-08-29,22,81,16,1005,0.36499424327641644,2,4.447652246569417,62,0,0,1,0,1
2021-08-30,22,81,16,1005,0.3865761132936216,2,4.529767467362751,62,0,0,1,0,1
2021-08-31,22,81,15,1005,0.43301962380974696,2,4.639735181177532,62,0,0,1,0,1
2021-09-01,22,81,15,1005,0.4576306018742101,2,4.771335378360546,62,0,0,1,0,1
2021-09-02,22,81,15,1005,0.49982956428416025,2,4.815725868440941,62,0,0,1,0,1
2021-09-03,22,81,14,1005,0.49288625304352585,2,4.904193219458113,62,0,0,1,0,1
2021-09-04,22,81,14,1006,0.5808315408522692,1,4.911491500112622,62,0,0,1,0,1
2021-09-05,22,81,14,1006,0.5714593539666012,1,4.975387743326939,62,0,0,1,0,1
2021-09-06,22,81,13,1006,0.6002661766508136,1,5.0232487459025235,62,0,0,1,0,1
2021-09-07,22,81,13,1006,0.6489858769253165,1,5.094102054608189,62,0,0,1,0,1
2021-09-08,22,81,12,1006,0.670963838609563,1,5.183443793797039,62,0,0,1,0,1
2021-09-09,22,81,12,1006,0.7057724894652087,1,5.184283273775246,63,0,0,1,0,1
2021-09-10,22,81,12,1006,0.6869407812732815,1,5.229837516482059,62,0,0,1,0,1
2021-09-11,22,81,12,1006,0.7588584406168999,1,5.19681059971541,63,0,0,1,0,1
2021-09-12,23,81,11,1006,0.7297678510191615,1,5.224878500612555,63,0,0,1,0,1
2021-09-13,23,81,11,1006,0.7356914043161034,1,5.243215859534292,63,0,0,1,0,1
2021-09-14,23,81,11,1006,0.7589523875038591,1,5.292499312246955,63,0,0,1,0,1
2021-09-15,23,80,11,1007,0.7535337606350888,1,5.3696617810052505,63,0,0,0,0,1
2021-09-16,23,80,10,1007,0.7596773201745796,1,5.368889285831417,63,0,0,0,0,1
2021-09-17,23,80,10,1007,0.7115962314753954,2,5.424274873040319,63,0,0,0,0,1
2021-09-18,23,79,10,1007,0.7543621887272469,2,5.4130658176362205,63,0,0,0,0,0
2021-09-19,23,79,10,1007,0.6968805027288889,2,5.4751257930601795,63,0,0,0,0,0
2021-09-20,23,78,10,1007,0.6758013825423173,2,5.539449169053884,63,0,0,0,0,0
2021-09-21,23,77,9,1007,0.674025882691285,2,5.64616252947062,62,0,0,0,0,0
2021-09-22,23,76,9,1007,0.6460512435692368,2,5.791287934955969,62,0,0,0,0,0
2021-09-23,23,75,9,1007,0.6325584486233048,2,5.867759311615609,62,0,0,0,0,0
2021-09-24,23,75,9,1008,0.5681152597850404,2,6.008106072348839,61,0,0,0,0,0
2021-09-25,24,74,8,1008,0.5980562090131272,2,6.087739340305335,61,0,0,0,0,0
2021-09-26,24,73,8,1008,0.5314530021612849,2,6.244461406035795,61,0,0,0,0,0
2021-09-27,24,72,8,1008,0.5050236898435431,2,6.405034272618355,61,0,0,0,0,0
