observation,tempC_7to8,tempC_1to2,tempC_6to7,humidity_7to8,humidity_1to2,humidity_6to7,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,precipMM_7to8,precipMM_1to2,precipMM_6to7,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7
2018-03-20,27,33,27,35,18,27,8,15,10,1013,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-21,27,32,26,34,16,24,8,15,14,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-22,25,32,25,34,17,37,11,12,14,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-23,26,33,28,36,15,30,6,3,9,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Partly cloudy
2018-03-24,28,34,29,19,11,17,13,7,6,1013,1011,1011,0.0,0.0,0.0,Cloudy,Partly cloudy,Overcast
2018-03-25,31,36,31,14,11,15,19,13,9,1014,1011,1012,0.0,0.0,0.0,Partly cloudy,Overcast,Overcast
2018-03-26,31,38,31,14,10,15,12,3,8,1014,1010,1011,0.0,0.0,0.0,Overcast,Sunny,Clear
2018-03-27,33,37,30,11,10,23,3,16,14,1012,1009,1010,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-28,30,36,29,24,13,25,11,19,12,1011,1008,1009,0.0,0.0,0.0,Sunny,Partly cloudy,Partly cloudy
2018-03-29,30,36,29,20,11,33,7,10,15,1011,1008,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-30,30,36,29,23,13,34,10,16,14,1011,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-03-31,29,35,28,33,17,30,14,17,15,1010,1008,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-01,29,36,29,24,13,33,11,10,17,1010,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-02,30,37,30,21,12,23,6,8,17,1011,1008,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-03,30,36,31,23,13,26,10,8,13,1011,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-04,31,37,31,23,11,22,11,9,15,1009,1005,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-05,31,37,31,23,14,20,13,15,18,1008,1004,1005,0.0,0.0,0.0,Sunny,Sunny,Overcast
2018-04-06,30,35,29,24,17,22,11,19,9,1009,1007,1007,0.0,0.0,0.0,Partly cloudy,Sunny,Clear
2018-04-07,30,36,30,30,17,26,7,12,6,1011,1007,1007,0.0,0.0,0.5,Sunny,Sunny,Patchy rain possible
2018-04-08,31,35,29,21,15,29,8,12,14,1011,1008,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-09,30,35,29,19,13,27,5,9,17,1012,1009,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-10,31,36,29,21,14,34,7,9,20,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-11,30,35,29,29,19,35,6,16,15,1011,1008,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-12,30,35,30,28,19,39,8,17,15,1010,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-14,31,36,31,27,18,32,9,17,15,1010,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-15,31,37,31,30,20,37,8,15,16,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-16,31,37,33,36,21,32,8,13,16,1011,1008,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-17,33,37,33,31,22,28,5,9,12,1011,1009,1009,0.0,0.0,0.2,Sunny,Sunny,Clear
2018-04-18,33,38,32,34,18,22,9,21,16,1012,1008,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-19,33,38,32,16,13,18,11,18,17,1009,1005,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-20,31,36,30,29,19,35,18,25,13,1009,1007,1009,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-21,30,36,31,36,19,22,13,17,16,1010,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-22,30,37,31,25,14,24,8,15,13,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-23,31,38,31,23,10,20,9,17,15,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-24,32,38,32,17,6,12,7,18,17,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-25,32,37,30,15,10,18,10,18,18,1009,1006,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-26,30,36,29,25,17,43,10,15,18,1009,1006,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-27,31,38,30,23,14,47,9,14,18,1009,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-28,32,38,31,29,17,37,13,19,17,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-29,31,37,29,33,20,48,16,26,18,1010,1006,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-04-30,30,37,30,37,18,43,19,26,18,1008,1006,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
